"filename", "language", "YAML", "Markdown", "Go", "JavaScript", "XML", "PostCSS", "HTML", "JSON", "Docker", "TypeScript", "MS SQL", "TypeScript JSX", "Properties", "JSON with Comments", "comment", "blank", "total"
"/Users/tau/Git/Hacks/auth-scope/internal/mission/admin_auth_test.go", "Go", 0, 0, 100, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 111
"/Users/tau/Git/Hacks/auth-scope/internal/mission/advanced_governance.go", "Go", 0, 0, 144, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 21, 165
"/Users/tau/Git/Hacks/auth-scope/internal/mission/advanced_governance_service.go", "Go", 0, 0, 537, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 27, 564
"/Users/tau/Git/Hacks/auth-scope/internal/mission/advanced_governance_test.go", "Go", 0, 0, 230, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 17, 247
"/Users/tau/Git/Hacks/auth-scope/internal/mission/agent_identity.go", "Go", 0, 0, 98, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 14, 112
"/Users/tau/Git/Hacks/auth-scope/internal/mission/agent_service.go", "Go", 0, 0, 133, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 142
"/Users/tau/Git/Hacks/auth-scope/internal/mission/authority_guard.go", "Go", 0, 0, 54, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 64
"/Users/tau/Git/Hacks/auth-scope/internal/mission/authzen.go", "Go", 0, 0, 138, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 14, 152
"/Users/tau/Git/Hacks/auth-scope/internal/mission/decision_artifact.go", "Go", 0, 0, 109, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 121
"/Users/tau/Git/Hacks/auth-scope/internal/mission/e2e_test.go", "Go", 0, 0, 273, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 31, 304
"/Users/tau/Git/Hacks/auth-scope/internal/mission/evaluator.go", "Go", 0, 0, 193, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 20, 213
"/Users/tau/Git/Hacks/auth-scope/internal/mission/evaluator_test.go", "Go", 0, 0, 197, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 14, 211
"/Users/tau/Git/Hacks/auth-scope/internal/mission/github.go", "Go", 0, 0, 30, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 38
"/Users/tau/Git/Hacks/auth-scope/internal/mission/github_http.go", "Go", 0, 0, 99, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 107
"/Users/tau/Git/Hacks/auth-scope/internal/mission/github_http_test.go", "Go", 0, 0, 89, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 97
"/Users/tau/Git/Hacks/auth-scope/internal/mission/github_service.go", "Go", 0, 0, 118, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 22, 140
"/Users/tau/Git/Hacks/auth-scope/internal/mission/github_test.go", "Go", 0, 0, 166, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 177
"/Users/tau/Git/Hacks/auth-scope/internal/mission/governance.go", "Go", 0, 0, 107, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 15, 122
"/Users/tau/Git/Hacks/auth-scope/internal/mission/governance_more_test.go", "Go", 0, 0, 261, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 19, 280
"/Users/tau/Git/Hacks/auth-scope/internal/mission/governance_read.go", "Go", 0, 0, 192, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 203
"/Users/tau/Git/Hacks/auth-scope/internal/mission/governance_service.go", "Go", 0, 0, 386, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 25, 411
"/Users/tau/Git/Hacks/auth-scope/internal/mission/governance_test.go", "Go", 0, 0, 171, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 14, 185
"/Users/tau/Git/Hacks/auth-scope/internal/mission/grand_governance.go", "Go", 0, 0, 73, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 85
"/Users/tau/Git/Hacks/auth-scope/internal/mission/grand_governance_service.go", "Go", 0, 0, 525, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 47, 572
"/Users/tau/Git/Hacks/auth-scope/internal/mission/grand_governance_test.go", "Go", 0, 0, 408, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 33, 441
"/Users/tau/Git/Hacks/auth-scope/internal/mission/http.go", "Go", 0, 0, 974, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 63, 1037
"/Users/tau/Git/Hacks/auth-scope/internal/mission/http_contract_test.go", "Go", 0, 0, 68, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 71
"/Users/tau/Git/Hacks/auth-scope/internal/mission/http_ports.go", "Go", 0, 0, 85, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 96
"/Users/tau/Git/Hacks/auth-scope/internal/mission/http_test.go", "Go", 0, 0, 553, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 65, 618
"/Users/tau/Git/Hacks/auth-scope/internal/mission/integrations/github/helpers.go", "Go", 0, 0, 259, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 21, 280
"/Users/tau/Git/Hacks/auth-scope/internal/mission/integrations/github/service.go", "Go", 0, 0, 374, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 27, 401
"/Users/tau/Git/Hacks/auth-scope/internal/mission/integrations/github/types.go", "Go", 0, 0, 133, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 16, 149
"/Users/tau/Git/Hacks/auth-scope/internal/mission/operator.go", "Go", 0, 0, 35, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 41
"/Users/tau/Git/Hacks/auth-scope/internal/mission/operator_http.go", "Go", 0, 0, 182, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 15, 197
"/Users/tau/Git/Hacks/auth-scope/internal/mission/operator_http_test.go", "Go", 0, 0, 145, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 16, 161
"/Users/tau/Git/Hacks/auth-scope/internal/mission/operator_service.go", "Go", 0, 0, 245, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 17, 262
"/Users/tau/Git/Hacks/auth-scope/internal/mission/operator_test.go", "Go", 0, 0, 107, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 118
"/Users/tau/Git/Hacks/auth-scope/internal/mission/outbox_test.go", "Go", 0, 0, 61, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 70
"/Users/tau/Git/Hacks/auth-scope/internal/mission/ports.go", "Go", 0, 0, 78, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 14, 92
"/Users/tau/Git/Hacks/auth-scope/internal/mission/runtime_config.go", "Go", 0, 0, 43, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 49
"/Users/tau/Git/Hacks/auth-scope/internal/mission/security_test.go", "Go", 0, 0, 396, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 42, 438
"/Users/tau/Git/Hacks/auth-scope/internal/mission/service.go", "Go", 0, 0, 697, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 44, 744
"/Users/tau/Git/Hacks/auth-scope/internal/mission/service_more_test.go", "Go", 0, 0, 270, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 30, 300
"/Users/tau/Git/Hacks/auth-scope/internal/mission/service_test.go", "Go", 0, 0, 192, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 21, 213
"/Users/tau/Git/Hacks/auth-scope/internal/mission/store.go", "Go", 0, 0, 688, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 61, 751
"/Users/tau/Git/Hacks/auth-scope/internal/mission/store/governance_read.go", "Go", 0, 0, 204, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 13, 217
"/Users/tau/Git/Hacks/auth-scope/internal/mission/store/governance_read_test.go", "Go", 0, 0, 136, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 19, 155
"/Users/tau/Git/Hacks/auth-scope/internal/mission/store/migrations/001_initial_schema.down.sql", "MS SQL", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 0, 0, 0, 1, 2, 14
"/Users/tau/Git/Hacks/auth-scope/internal/mission/store/migrations/001_initial_schema.up.sql", "MS SQL", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 44, 0, 0, 0, 0, 4, 48
"/Users/tau/Git/Hacks/auth-scope/internal/mission/store/migrations/002_outbox_table.down.sql", "MS SQL", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 1, 3
"/Users/tau/Git/Hacks/auth-scope/internal/mission/store/migrations/002_outbox_table.up.sql", "MS SQL", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 0, 0, 0, 0, 2, 12
"/Users/tau/Git/Hacks/auth-scope/internal/mission/store/migrations/003_outbox_processed_table.down.sql", "MS SQL", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 1, 3
"/Users/tau/Git/Hacks/auth-scope/internal/mission/store/migrations/003_outbox_processed_table.up.sql", "MS SQL", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 1, 5
"/Users/tau/Git/Hacks/auth-scope/internal/mission/store/migrations/004_agent_identities.down.sql", "MS SQL", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 0, 0, 0, 0, 1, 7
"/Users/tau/Git/Hacks/auth-scope/internal/mission/store/migrations/004_agent_identities.up.sql", "MS SQL", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 24, 0, 0, 0, 0, 3, 27
"/Users/tau/Git/Hacks/auth-scope/internal/mission/store/migrations/005_governance_controls.down.sql", "MS SQL", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 1, 4
"/Users/tau/Git/Hacks/auth-scope/internal/mission/store/migrations/005_governance_controls.up.sql", "MS SQL", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 26, 0, 0, 0, 0, 5, 31
"/Users/tau/Git/Hacks/auth-scope/internal/mission/store/migrations/006_advanced_governance.down.sql", "MS SQL", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 1, 5
"/Users/tau/Git/Hacks/auth-scope/internal/mission/store/migrations/006_advanced_governance.up.sql", "MS SQL", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 43, 0, 0, 0, 0, 8, 51
"/Users/tau/Git/Hacks/auth-scope/internal/mission/store/migrations/007_grand_governance.down.sql", "MS SQL", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 1, 3
"/Users/tau/Git/Hacks/auth-scope/internal/mission/store/migrations/007_grand_governance.up.sql", "MS SQL", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 24, 0, 0, 0, 0, 4, 28
"/Users/tau/Git/Hacks/auth-scope/internal/mission/store/migrations/008_github_integrations.down.sql", "MS SQL", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 1, 5
"/Users/tau/Git/Hacks/auth-scope/internal/mission/store/migrations/008_github_integrations.up.sql", "MS SQL", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 25, 0, 0, 0, 0, 4, 29
"/Users/tau/Git/Hacks/auth-scope/internal/mission/store/postgres.go", "Go", 0, 0, 1615, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 59, 235, 1909
"/Users/tau/Git/Hacks/auth-scope/internal/mission/store/postgres_test.go", "Go", 0, 0, 264, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 24, 288
"/Users/tau/Git/Hacks/auth-scope/internal/mission/store/postgres_unit_test.go", "Go", 0, 0, 1287, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 108, 1395
"/Users/tau/Git/Hacks/auth-scope/internal/mission/store_test.go", "Go", 0, 0, 458, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 30, 488
"/Users/tau/Git/Hacks/auth-scope/internal/mission/types.go", "Go", 0, 0, 217, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 34, 251
"/Users/tau/Git/Hacks/auth-scope/openapi/auth-scope-v1.yaml", "YAML", 1032, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1033
"/Users/tau/Git/Hacks/auth-scope/samples/README.md", "Markdown", 0, 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 16
"/Users/tau/Git/Hacks/auth-scope/samples/governed-coding-agent-workbench/README.md", "Markdown", 0, 34, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 14, 48
"/Users/tau/Git/Hacks/auth-scope/samples/governed-coding-agent-workbench/app.js", "JavaScript", 0, 0, 0, 467, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 41, 508
"/Users/tau/Git/Hacks/auth-scope/samples/governed-coding-agent-workbench/index.html", "HTML", 0, 0, 0, 0, 0, 0, 144, 0, 0, 0, 0, 0, 0, 0, 0, 12, 156
"/Users/tau/Git/Hacks/auth-scope/samples/governed-coding-agent-workbench/styles.css", "PostCSS", 0, 0, 0, 0, 0, 465, 0, 0, 0, 0, 0, 0, 0, 0, 0, 80, 545
"Total", "-", 4408, 1442, 14846, 1285, 4, 858, 158, 261, 31, 3038, 232, 1794, 30, 7, 134, 3342, 31870